"Time Frame","Date","Ta (°C)","Tm (°C)","I3 (W/m2)","I15 (W/m2)","P (kW)","","",""
"17","3/16/12 5:57 PM","14.9474","12.5804","0","0","0","","",""
"18","3/16/12 6:56 PM","12.05625","6.36225","0.338","0.4726666666666667","0.2120166666666667","","",""
"19","3/16/12 7:56 PM","10.827","4.306","56.65083333333332","77.94083333333333","37.62541666666666","","",""
"20","3/16/12 8:56 PM","9.477333333333332","2.475666666666667","264.3326666666666","316.4753333333333","222.9742833333333","","",""
"21","3/16/12 9:56 PM","8.497833333333332","1.286833333333333","467.5891666666669","558.2826666666666","420.526","","",""
"22","0","0","0","0","0","0","","",""
"23","0","0","0","0","0","0","","",""
"24","0","0","0","0","0","0","","",""
"1","0","0","0","0","0","0","","",""
"2","0","0","0","0","0","0","","",""
"3","0","0","0","0","0","0","","",""
"4","3/17/12 4:56 AM","5.491333333333333","-1.5555","636.4999999999999","742.5586666666667","575.1751166666666","","",""
"5","3/17/12 5:56 AM","5.837833333333333","-0.4255","764.1988333333333","871.1639999999996","672.4710499999999","","",""
"6","3/17/12 6:56 AM","9.149166666666666","4.394833333333334","817.8208333333334","909.7724999999999","702.0922833333337","","",""
"7","3/17/12 7:56 AM","12.8185","13.07316666666667","731.7663333333334","890.3671666666667","648.9742000000003","","",""
"8","3/17/12 8:56 AM","15.53733333333333","21.69933333333333","758.5721666666664","793.1419999999999","644.2818500000002","","",""
"9","3/17/12 9:56 AM","17.359","32.29233333333334","620.7716666666668","655.7423333333334","526.5180166666665","","",""
"10","3/17/12 10:56 AM","18.91633333333333","39.63100000000001","434.3823333333333","456.0820000000001","358.2053166666666","","",""
"11","3/17/12 11:56 AM","19.434","43.10766666666667","216.512","219.8796666666667","157.90155","","",""
"12","3/17/12 12:56 PM","20.3735","41.90516666666667","39.68666666666665","38.24266666666666","23.39536666666667","","",""
"13","3/17/12 1:56 PM","20.52833333333333","41.672","0","0","0.1054666666666666","","",""
"14","3/17/12 2:56 PM","19.94283333333334","36.25116666666666","0","0","0","","",""
"15","3/17/12 3:56 PM","19.44216666666667","29.99466666666667","0","0","0","","",""
"16","3/17/12 4:56 PM","17.96466666666666","22.016","0","0","0","","",""
"17","3/17/12 5:56 PM","15.54066666666667","13.57083333333333","43.18347826086956","43.24652173913044","28.82795652173913","","",""
"18","3/17/12 6:56 PM","13.3305","8.720666666666666","102.49675","104.75425","80.907375","","",""
"19","3/17/12 7:56 PM","12.16366666666667","7.053999999999999","268.209","263.6815","228.8381833333334","","",""
"20","3/17/12 8:56 PM","11.32333333333333","5.861000000000001","579.7278333333333","487.4556666666668","476.5662833333332","","",""
"21","3/17/12 9:46 PM","10.8776","5.537599999999999","768.7913333333333","868.2166666666669","677.1507166666669","","",""
"6","3/18/12 6:56 AM","12.932","11.64783333333333","825.9591666666668","923.5210000000002","708.4642833333334","","",""
"7","3/18/12 7:51 AM","13.86733333333333","14.70933333333333","818.1156666666668","895.8769999999998","695.9628666666664","","",""
"8","3/18/12 8:51 AM","15.439","19.79216666666667","749.7858333333332","806.3739999999996","636.1725333333331","","",""
"9","3/18/12 9:51 AM","17.59866666666667","30.273","617.8711666666667","655.7878333333337","526.3240500000001","","",""
"10","3/18/12 10:51 AM","18.54516666666667","40.07566666666667","430.6758333333334","449.6506666666667","356.1067166666669","","",""
"11","3/18/12 11:51 AM","19.921","43.72733333333334","215.0971666666667","215.9335","159.6617","","",""
"12","3/18/12 12:51 PM","20.75633333333333","44.262","39.782","37.95483333333333","24.72503333333333","","",""
"13","3/18/12 1:51 PM","21.03983333333333","41.2945","0","0","0.04448333333333334","","",""
"14","3/18/12 2:51 PM","20.6655","36.81916666666667","0","0","0","","",""
"15","3/18/12 3:51 PM","19.99516666666667","30.56483333333333","0","0","0","","",""
"16","3/18/12 4:51 PM","18.01683333333333","22.063","0","0","0","","",""
"17","3/18/12 5:51 PM","15.71866666666667","14.11833333333333","0","0","0","","",""
"18","3/18/12 6:51 PM","13.73216666666667","9.841166666666668","0.2163333333333333","0.3053333333333333","0.1261","","",""
"19","3/18/12 7:51 PM","12.7135","8.074666666666667","35.44466666666667","36.595","23.78793333333333","","",""
"20","3/18/12 8:51 PM","12.19883333333333","8.081000000000001","103.4831666666667","106.1168333333333","84.68848333333332","","",""
"21","3/18/12 9:51 PM","11.70833333333333","7.004","216.9136666666668","211.2766666666667","182.6796500000001","","",""
